"","ID","lang","Date","Source","len","Orig_Tweet","Tweet","Likes","RTs","Hashtags","UserMentionNames","UserMentionID","Name","Place","Followers","Friends"
"152098",1013205008635121664,"en","2018-06-30 23:37:53","Twitter for iPhone",140,"RT @Jean_musings: @FIFAWorldCup Hello, please play fake love by BTS. #WorldCup #Copa2018 #FIFAStadiumDJ @FIFAWorldCup https://t.co/yJFEAv8M…","Hello please play fake love by BTS",0,109,"WorldCup,Copa2018,FIFAStadiumDJ","Jessica?,FIFA World Cup ?,FIFA World Cup ?","Jean_musings,FIFAWorldCup,FIFAWorldCup","karla Af","Morelia, Michoacán de Ocampo",52,56
"208027",1013095323776974848,"en","2018-06-30 16:22:02","Twitter for iPhone",76,"RT @BleacherReport: Argentina's #WorldCup ends here. https://t.co/Q54OvN0JW1","Argentinas ends here",0,1074,"WorldCup","Bleacher Report","BleacherReport","joce ??","Baltimore, MD",487,277
"323588",1017129242767888384,"en","2018-07-11 19:31:23","Twitter for iPhone",115,"RT @TSN_Sports: THAT WAS CLOSE!

#CRO nearly take the lead on an intercepted pass #WorldCup https://t.co/NZ2r5ct13g","THAT WAS CLOSE nearly take the lead on an intercepted pass",0,21,"CRO,WorldCup","TSN","TSN_Sports","Daniel Nasr","Los Angeles, CA",298,244
"487716",1018551108921225216,"en","2018-07-15 17:41:22","Twitter for iPhone",140,"RT @FIFAWorldCup: Hands up if you can make history in the #WorldCupFinal ?

We look at Didier Deschamps' bid to become the third man to win…","Hands up if you can make history in the We look at Didier Deschamps bid to become the third man to win",0,762,"WorldCupFinal","FIFA World Cup","FIFAWorldCup","Markuz 45","Gresik, Jawa Timur",15,136
"115951",1014541759282544640,"en","2018-07-04 16:09:39","Twitter Lite",140,"RT @stuholden: Can’t believe that while I’m covering the biggest event of my career #WorldCup? ?, I’ve been upstaged by my brother @EuanHol…","Can believe that while m covering the biggest event of my career ve been upstaged by my brother",0,129,"WorldCup","Stu Holden","stuholden","Nice Anon","Onicha Uboma",401,62
"483209",1018551343227834368,"en","2018-07-15 17:42:18","Twitter for Android",107,"RT @FIFAWorldCup: adidas Golden Glove Award: 

?Thibaut COURTOIS (#BEL) 

#WorldCup https://t.co/S5xB7RBBdP","adidas Golden Glove Award Thibaut COURTOIS",0,17623,"BEL,WorldCup","FIFA World Cup","FIFAWorldCup","Pamela Espinoza?","Ecuador",3467,2156
"504392",1018550334510133248,"en","2018-07-15 17:38:18","Twitter for Android",131,"RT @FIFAWorldCup: The 64 matches of the 2018 FIFA #WorldCup 

A thread: 

Match #1 | #RUS 5-0 #KSA

#RUSKSA https://t.co/ZB2bQ4aJrI","The matches of the FIFA thread Match",0,5369,"WorldCup,RUS,KSA,RUSKSA","FIFA World Cup","FIFAWorldCup","Juno","Across the Universe",329,668
"375115",1018558858262908928,"en","2018-07-15 18:12:10","Twitter for iPhone",96,"RT @premierleague: Dab with the #WorldCup? 

@paulpogba's completed it ? https://t.co/lmGdXE9WOG","Dab with the completed it",0,5263,"WorldCup","Premier League,Paul Pogba","premierleague,paulpogba","B.A™","Manchester",294,332
"359879",1018367928901689344,"en","2018-07-15 05:33:29","Twitter for iPhone",140,"RT @WorldRugbyLeagu: Rugby League World Cup Qualifiers

?? Czech Republic 64
?? Hungary 10

#WorldCup
#RugbyLeague
#RugbyXIII
#Rugby
#Footb…","Rugby League World Cup Qualifiers Czech Republic Hungary",0,2,"WorldCup,RugbyLeague,RugbyXIII,Rugby","World Rugby League","WorldRugbyLeagu","NRL Fan Polls","Australia",1404,454
"33409",1013544187961233408,"en","2018-07-01 22:05:39","Twitter for Android",138,"RT @KraksTV: Retweet If you are happy that Argentina lost today simply because they won Nigeria  #FRAARG #WorldCup https://t.co/ShDC438aQk","Retweet If you are happy that Argentina lost today simply because they won Nigeria",0,2580,"FRAARG,WorldCup","www.KRAKS.co","KraksTV","dhayour","lagos",45,164
"118589",1014539549928837120,"en","2018-07-04 16:00:52","Twitter for Android",140,"RT @KampeSport: Retweet if the country you dey support still dey for #WorldCup? ?

?? Russia
?? Uruguay
?? France
?? Croatia
?? Sweden
?? B…","Retweet if the country you dey support still dey for Russia Uruguay France Croatia Sweden",0,35,"WorldCup","Kampe Sport","KampeSport","imam yelwa","Around the world",1102,703
"101788",1014270693020700672,"en","2018-07-03 22:12:32","Twitter for iPhone",140,"RT @HarryHolland99: Fucking love the World Cup mate. Such a shame England have only got three matches left to play ? #worldcup #ENGCOL #Its…","Fucking love the World Cup mate Such shame England have only got three matches left to play",0,92,"worldcup,ENGCOL","Harry Holland","HarryHolland99","iz","United Kingdom",23,275
"387127",1018557725834244096,"en","2018-07-15 18:07:40","Twitter Web Client",140,"RT @FCBarcelona: ?? Congratulations to @samumtiti and @Dembouz on winning the #WorldCup! ?
?? Well done to @ivanrakitic on a great tourname…","Congratulations to and on winning the Well done to on great tourname",0,3431,"WorldCup","FC Barcelona,Samuel Umtiti,Ousmane Dembélé,Ivan Rakitic","FCBarcelona,samumtiti,Dembouz,ivanrakitic","Beemika","Paradise?",758,87
"214357",1013094157697667072,"en","2018-06-30 16:17:24","Twitter for Android",139,"RT @XHSports: Kylian Mbappe is the first teenager to score at least twice in a World Cup match since Pele vs Sweden in 1958. #FRA? ? #ARG?…","Kylian Mbappe is the first teenager to score at least twice in World Cup match since Pele vs Sweden in",0,106,"FRA,ARG","Xinhua Sports","XHSports","Black Martinz","Calabar, Nigeria",49,239
"424624",1018554840123731968,"en","2018-07-15 17:56:12","Twitter for Android",121,"RT @Football__Tweet: The first teenager to score in a World Cup final since Pele.

#WorldCup #FRA https://t.co/T9eBVzAvHl","The first teenager to score in World Cup final since Pele",0,2046,"WorldCup,FRA","?? vs ?? Football Tweet","Football__Tweet","yun","Old Trafford",1287,668
"281314",1016786614108946432,"en","2018-07-10 20:49:54","Twitter for iPhone",137,"RT @BBCMOTD: When you're an assistant manager with Belgium, but you're also a France legend... 
#FRABEL #worldcup https://t.co/4hNBnAt5rK","When you are an assistant manager with Belgium but you are also France legend",0,358,"FRABEL,worldcup","Match of the Day","BBCMOTD","Cornelia Caviglia","Switzerland",2168,2142
"401063",1018556535264378880,"en","2018-07-15 18:02:56","Twitter for Android",140,"RT @TheUndefeated: France just won the #WorldCup, but so did Cameroon, Angola, Nigeria, the DRC, Mali, and Guinea and Senegal. 

The Cup ma…","France just won the but so did Cameroon Angola Nigeria the DRC Mali and Guinea and Senegal The Cup ma",0,4230,"WorldCup","The Undefeated","TheUndefeated","Rockstar™","Canada in Jesus Name",3229,1818
"526105",1018630199737323520,"en","2018-07-15 22:55:39","Twitter for Android",89,"RT @EmilioSansolini: All #WorldCup champions and runners-up  ???? https://t.co/F0bwxfiH7k","All champions and runners up",0,191,"WorldCup","Emilio Sansolini","EmilioSansolini","fajri nursyamsi","Bogor",809,676
"212209",1013094539035402240,"en","2018-06-30 16:18:55","Twitter for iPhone",139,"RT @ManUtd: What. A. Game!

Congratulations to @PaulPogba on reaching the #WorldCup quarter-finals with #FRA, but commiserations to Marcos…","What Game Congratulations to on reaching the quarter finals with but commiserations to Marcos",0,2761,"WorldCup,FRA","Manchester United,Paul Pogba","ManUtd,paulpogba","M A N D O S A U R","Austin, TX",94,428
"428025",1018554627220910080,"en","2018-07-15 17:55:21","Twitter for iPhone",77,"RT @TMNT: Congrats @KMbappe on the #WorldCup win! ??? https://t.co/T7UHXtlAjH","Congrats on the win",0,36,"WorldCup","TMNT,Kylian Mbappé","TMNT,KMbappe","zik ??","+60",65,84
"499784",1.018550537351e+18,"en","2018-07-15 17:39:06","Twitter for iPad",140,"RT @EU_Commission: We are proud to see the final of the #WorldCup being played between two EU teams – the first and the last countries to j…","We are proud to see the final of the being played between two EU teams the first and the last countries to",0,331,"WorldCup","European Commission ??","EU_Commission","Euro Parliament","Edinburgh",14720,16192
"122623",1014536023337046016,"en","2018-07-04 15:46:51","Twitter for Android",78,"RT @SportsJOE_UK: Even Putin knows... ? #ENG #WorldCup https://t.co/cGQBVLrz2o","Even Putin knows",0,2800,"ENG,WorldCup","SportsJOE","SportsJOE_UK","James Challis","Reigate",920,1263
"370949",1018559262929358848,"en","2018-07-15 18:13:46","Mobile Web (M2)",102,"RT @FIFAWorldCup: FIFA Young Player Award: 

?Kylian MBAPPE (#FRA) 

#WorldCup https://t.co/v4eMfItkkP","FIFA Young Player Award Kylian MBAPPE",0,14879,"FRA,WorldCup","FIFA World Cup","FIFAWorldCup","DAVE","Nairoberry ?",159,399
"67654",1013526616339726336,"en","2018-07-01 20:55:50","Twitter for iPhone",107,"RT @RobStoneONFOX: If #RUS wins the #worldcup will they get an invite the White House?
I'll see myself out.","If wins the will they get an invite the White House will see myself out",0,99,"RUS,worldcup","Rob Stone","RobStoneONFOX","Anthony Wells","Brasil, Los Angeles",213,219
"152956",1013203964148449280,"en","2018-06-30 23:33:44","Twitter Web Client",80,"RT @Cruyffootball: Internet is beautiful place #WorldCup https://t.co/p42bSlSMZn","Internet is beautiful place",0,1457,"WorldCup","S A M","Cruyffootball","_????????","Warsaw, Poland",731,1387
"215471",1012876207099121664,"en","2018-06-30 01:51:20","Twitter for iPhone",71,"RT @BleacherReport: The #WorldCup round of 16 ? https://t.co/JkqhwSZf0e","The round of",0,1554,"WorldCup","Bleacher Report","BleacherReport","M?RCOAH???","prolly eatin like a fat?",245,394
"7989",1013580470087573504,"en","2018-07-02 00:29:50","Twitter for Android",140,"RT @PsychoCesc: #ESPRUS 

DDG and Neuer ??
Messi and Ronaldo ??
Salah and Ramos ??

Someone's Putin things in order #worldcup https://t.co/…","DDG and Neuer Messi and Ronaldo Salah and Ramos Someones Putin things in order",0,154,"ESPRUS,worldcup","Hiffey?","PsychoCesc","Brexit Wale","Hidden Leaf Village",244,255
"213451",1013094317349470208,"en","2018-06-30 16:18:02","Twitter for iPhone",140,"RT @isabelamoner: That time soccer legend @TimHow1 TRIED to teach me about soccer ?? @CocaCola and @McDonalds. Tag #ShoutShare #Sweepstakes…","That time soccer legend TRIED to teach me about soccer and Tag",0,36,"ShoutShare,Sweepstakes","isabela moner,Tim Howard,Coca-Cola,McDonald's","isabelamoner,TimHow1,CocaCola,McDonalds","Savage_Kevin16","California, USA",10,129
"469783",1018552090837348352,"en","2018-07-15 17:45:16","Twitter for Android",86,"RT @BleacherReport: A second #WorldCup, 20 years in the making https://t.co/qri7Mg7mSR","second years in the making",0,1078,"WorldCup","Bleacher Report","BleacherReport","ON EST CHAMPION ??????","Lomme, France",38,164
"191740",1013099116820193280,"en","2018-06-30 16:37:06","Twitter for Android",72,"RT @brfootball: Leo Messi leaves the #WorldCup ? https://t.co/Zc4LVeF3Qh","Leo Messi leaves the",0,1810,"WorldCup","B/R Football","brfootball","nfd","Jakarta Capital Region",228,196
"272892",1016751596254920704,"en","2018-07-10 18:30:45","Twitter for Android",69,"RT @forumJuventus: Sorry ?
#CR7Juve #WorldCup https://t.co/jq9ZoyimCO","Sorry",0,103,"CR7Juve,WorldCup","VecchiaSignora.com","forumJuventus","Arianna?","Calabria, Italia",580,198
"343052",1017157695672078336,"en","2018-07-11 21:24:27","Twitter for iPhone",107,"RT @Hisroyaldopenex: #Eng  : Football is Coming Home #Worldcup #CROENG 

Football : https://t.co/cIAIeYyVEL","Football is Coming Home Football",0,24,"Eng,Worldcup,CROENG","Small Boy Big God","Hisroyaldopenex","D??nk?  O?  M? ?","here ",14985,5580
"279192",1016787619957571584,"en","2018-07-10 20:53:54","Twitter for Android",140,"RT @kdnuggets: Analyze a #Soccer (#Football) Game Using #Tensorflow Object Detection and #OpenCV #AI #MachineLearning #DeepLearning #WorldC…","Analyze Game Using Object Detection and",0,17,"Soccer,Football,Tensorflow,OpenCV,AI,MachineLearning,DeepLearning","KDnuggets","kdnuggets","Nicolas GUTOWSKI","Angers, France",796,761
"106702",1014269195482288128,"en","2018-07-03 22:06:35","Twitter for Android",140,"RT @Everton: YES!! Top drawer from @JPickford1! He is the penalty shootout hero - and @England are through to the #WorldCup quarter-finals.…","YES Top drawer from He is the penalty shootout hero and are through to the quarter finals",0,1816,"WorldCup","Everton,Jordan Pickford,England","Everton,JPickford1,England","Andrés Herrera","Chile",465,355
